FileName,TranscriptionNuance
./data\123500_NaimaF.wav,J'aimerais transférer 3564 $ de mon compte chèque à mon compte départ j'aimerais verser 199 $ à début de chaque mois sur mon compte bell
./data\123501_NaimaF.wav,Transfert 6000 $ 704-9960 11 $ de mon compte CELI le 11 novembre
./data\123502_NaimaF.wav,Transfert de 51 766 $ et 6652 $ de mon compte CELI le 29 décembre une fois cette année
./data\123503_NaimaF.wav,Transfert 2013 $ à mon compte REER au 1er janvier 2022
./data\123504_NaimaF.wav,Je veux faire un dépôt de 5243 $ et aussi 37 000 $ et 465 le 18 novembre 2021
./data\123505_NaimaF.wav,Je dois faire un transfert international de 3666 $ à mon oncle à Québec le 31 octobre 2021
./data\123506_NaimaF.wav,"J'aimerais c'est Jul un paiement mensuel de 27,55 $ qui sera versé tous les 15 du mois à partir d'octobre"
./data\123507_NaimaF.wav,"J'aimerais céduler un paiement mensuel de 65,33 $ qui sera versé tous les 29 du mois à partir de mars 2022"
./data\123508_NaimaF.wav,Transfert 5080 $ à mon compte REER le 16 avril 2022
./data\123509_NaimaF.wav,Moi j'aimerais transférer 2077 $ à Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre
./data\123510_NaimaF.wav,Transfère 33 112 $ et 33 214 $
./data\123511_NaimaF.wav,J'aimerais transférer 4654 $ de mon compte chèques à mon compte d'épargne j'aimerais aussi verser 398 $ à la fin de chaque mois sur mon compte bell
./data\123512_NaimaF.wav,"Transfère 8000 $ et 80 70 à mon compte REER et un autre 9060 11,56 $ de mon compte CELI le 11 novembre"
./data\123513_NaimaF.wav,Transfert de 31 910 $ et 4452 $ de mon compte CELI le 23 décembre une fois cette année
./data\123514_NaimaF.wav,Transfère 5012 $ à mon compte REER le 1er février 2022
./data\123515_NaimaF.wav,Je veux faire un dépôt de 90 243 $ et un autre 39 000 $ et 361 le 23 novembre 2021
./data\123516_NaimaF.wav,Je voudrais facturer un transfert international de 8606 $ à mon oncle à Paris le 30 juin 2021
./data\123517_NaimaF.wav,"J'aimerais celui-là un paiement mensuel de 39,68 $ qui sera versé tous les 28 du mois à partir d'octobre"
./data\123518_NaimaF.wav,"J'aimerais cellulaire moment Suel de 69,59 $ qui sera versé tous les 14 du mois à partir de mars 2022"
./data\123519_NaimaF.wav,Transférer 31 004 $ à mon compte REER au 16 avril 2022
./data\123520_NaimaF.wav,Moi j'aimerais transférer 2078 $ s'il vous plaît de mon compte américain le 17 décembre
./data\123521_NaimaF.wav,Transférer 35 130 $ et aussi 33 920 $
./data\123522_NaimaF.wav,"Transférer 67 030 $ et transférer aussi 25 715,30 $"
./data\123523_NaimaF.wav,J'aimerais transférer 2834 $ de mon compte chèques à mon compte épargne aimerais aussi verser 295 $ à la fin de chaque mois sur mon compte bell
./data\123524_NaimaF.wav,"Transfert 1000 $ et 70 autres 2072,12 $ de mon compte CELI le 20 novembre"
./data\123525_NaimaF.wav,Transfert 21 110 $ et 3455 $ de mon compte CELI le 2 décembre de cette année
./data\123526_NaimaF.wav,Transfert 13 013 $ à mon compte REER le 10 février 2022
./data\123527_NaimaF.wav,Je veux faire un dépôt de 81 083 $ et un autre transfert de 31 000 $ et 963 le 30 novembre 2021
./data\123528_NaimaF.wav,Je voudrais effectuer un transfert international de 9107 $ à mon oncle le 30 juillet 2021
./data\123529_NaimaF.wav,"J'aimerais céduler un paiement mensuel de 32,18 $ le sept de chaque mois à partir d'octobre"
./data\123530_NaimaF.wav,"Ma cellulaire un paiement mensuel de 49,49 $ tout les 11 du mois à partir d'avril 2022"
./data\123531_NaimaF.wav,Transfert 21 099 $ à mon compte REER au 3 avril 2022
./data\123532_NaimaF.wav,Moi j'aimerais transférer 20 079 $ en Floride s'il vous plaît de mon compte américain le 31 décembre
./data\123533_NaimaF.wav,Transférez 6103 $ et 34 410 $
./data\123534_NaimaF.wav,Je voudrais transférer 1345 $ et aussi 2564 $ à mon compte REER aujourd'hui
./data\123535_NaimaF.wav,Je voudrais transférer 2898 $ et 1135 $ sur mon compte CPG demain
