Contact ID,Transcription corrigée
123500,J'aimerais transférer trois mille cinq cent soixante-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais verser cent quatre-vingt-dix-neuf dollars  a début de chaque mois sur mon compte Bell.
123501,Transfert  six mille dollars et sept cent quatre vingt et neuf mille neuf cent soixante onze dollars de mon compte CELI le 11 novembre
123502,Transfert de cinquante-et-un mille sept cent soixante-six dollars  et six mille six cent cinquante-deux dollars  de mon compte CELI le 29 décembre une fois cette année.  
123503,Transfer deux mille treize dollars a mon compte REER  au premier janvier 2022 
123504,Je veux faire un dépôt de cinq mille deux cent quarante-trois dollars et aussi trente-sept mille dollars et  quatre cent soixante-cinq le 18 novembre 2021
123505,Je dois faire un transfert international de trois mille six cent soixante-six dollars à mon oncle au Quebec  le 31 octobre 2021
123506,J'aimerais céduler un paiement mensuel de vingt sept dollar et cinquante cinq sous qui sera versé tous les 15 du mois à partir d'octobre. 
123507,J'aimerais céduler un paiement mensuel de soixante cinq dollar et Trente-trois sous qui sera versé tous les 29 du mois à partir d'mars 2022. 
123508,Transfer cinq mille quatre vingt dollars a mon compte REER  au 16  avril 2022 
123509,moi j'aimerais transférer deux mille soixante-dix-sept dollars au Trois-Rivières s'il vous plaît de mon compte américain le 18 décembre
123510,Transfer trente-trois mille cent douze dollars et trente-trois mille deux cent quatorze dollars
123511,J'aimerais transférer quatre mille six cent cinquante-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais aussi verser trois cent quatre-vingt-dix-huit dollars  a la fin de chaque mois sur mon compte Bell.
123512,Transfert  huit mille dollars et huit cent soizante dix a mon compte REER et un autre neuf mille soixante onze dollars et cinquante six sous de mon compte CELI le 11 novembre
123513,Transfert de trente-et-un mille neuf cent dix dollars  et quatre mille quatre cent cinquante-deux dollars  de mon compte CELI le 23 décembre une fois cette année.  
123514,Transfer cinq mille douze dollars a mon compte REER  au premier février 2022 
123515,Je veux faire un dépôt de quatre vingt dix mille deux cent quarante-trois dollars et  un autre trente-neuf mille dollars et  trois cent soixante et un le 23 novembre 2021
123516,Je dois effectuer un transfert international de huit mille six cent six dollars à mon oncle a Paris le 30 juin 2021
123517,J'aimerais céduler un paiement mensuel de trente neuf dollar et soixante huit sous qui sera versé tous les 28 du mois à partir d'octobre. 
123518,J'aimerais céduler un paiement mensuel de soixante neuf dollar et cinquante neuf sous qui sera versé tous les 14 du mois à partir de mars 2022. 
123519,Transfer trente et un mille et quatre dollars a mon compte REER  au 16  avril 2022 
123520,moi j'aimerais transférer deux mille soixante-dix-huit dollars s'il vous plaît de mon compte américain le 17 décembre
123521,Transfer trente-cinq mille cent trente dollars et aussi trente-trois mille neuf cent vingt dollars
123522,Transfer soixante sept mille trente dollars et transfer aussi vingt cinq mille sept cent quinze dollars et trente sous
123523,J'aimerais transférer deux mille huit cent trente-quatre dollars de mon compte-chèques à mon compte d'épargne. J'aimerais verser deux cent quatre-vingt-quinze dollars  a la fin de chaque mois sur mon compte Bell.
123524,Transfert mille dollars et cent dix et un autre deux mille soixante douze dollars et douze sous de mon compte CELI le 20 novembre
123525,Transfert  vingt-et-un mille cent dix dollars  et trois mille quatre cent cinquante-cinq dollars  de mon compte CELI le 2 décembre de cette année.  
123526,Transfer treize mille treize dollars a mon compte REER  le 10 février 2022 
123527,Je veux faire un dépôt de quatre vingt un mille et quatre vingt trois dollars et  un autre transfer de trente et un mille dollars et  neuf cent soixante et trois le 30 novembre 2021
123528,Je dois effectuer un transfert international de neuf mille cent sept dollars à mon oncle le 30 juillet 2021
123529,J'aimerais céduler un paiement mensuel de trente deux dollar et dix-huit sous le 7 de chaque mois à partir d'octobre. 
123530,J'aimerais céduler un paiement mensuel de quarante neuf dollar et quatrante neuf sous tous le 11 du mois à partir d'avril 2022. 
123531,Transfer vingt et un mille et quatre vingt dix neuf dollars a mon compte REER  au 3  avril 2022 
123532,moi j'aimerais transférer vingt mille soixante-dix-neuf dollars en Floride s'il vous plaît de mon compte américain le 31 décembre
123533,Transfer six mille cent trois dollars et trente quatre mille quatre cent dix dollars
123534,Je voudrais transférer 1345 dollars et aussi 2564 dollars a mon compte REER aujourd'hui. 
123535,Je voudrais transférer 2898 dollars et 1135 dollars sur mon compte CPG demain.
123536,Je voudrais changer mon NIP a soixante six soixante dix sept et quatre vingt huit.
123537,"Je voudrais faire 3 transferts sur mon compte d'épargne BNC, le premier montant est de 1234 dollars, le second de 2345 dollars et le dernier de 3456 dollars. "
123538,Je voudrais transférer 6677 dollars et 7788 dollars sur mon compte CPG demain.
123539,Je voudrais transférer 1001 dollars et 2002 dollars sur mon compte CPG demain.
123540,Je voudrais transférer 20001 dollars et 3005 dollars sur mon compte CPG demain.
123541,Je voudrais transférer 8888 dollars et 7567 dollars sur mon compte CPG demain.
123542,J'aimerais céduler un paiement mensuel de trente cinq dollar et vingt cinq sous qui sera versé tous les 17 du mois à partir d'octobre. 
123543,J'aimerais céduler un paiement mensuel de soixante huit dollar et trente cinq sous qui sera versé tous les 8 du mois à partir d'octobre. 
123544,J'aimerais céduler un paiement mensuel de cinquante huit dollar et neuf sous qui sera versé tous le premier du mois à partir d'octobre. 
